,index,source1,source2,SCOSS_count,SCOSS_set,SCOSS_hash,actual_marks
0,0,C31_ExB.py,ExB_solution.py,0.48484848484848486,0.8691588785046729,0.5233644859813085,1.0
1,1,C32_ExB.py,ExB_solution.py,0.4838709677419355,0.6782006920415224,0.26297577854671284,1.0
2,2,C33_ExB.py,ExB_solution.py,0.0,0.0,0.0,0.0
3,3,C34_ExB.py,ExB_solution.py,0.3939393939393939,0.7719298245614035,0.16666666666666663,0.95
4,4,C35_ExB.py,ExB_solution.py,0.47058823529411764,0.6666666666666667,0.11403508771929827,0.85
5,5,C36_ExB.py,ExB_solution.py,0.4666666666666667,0.8372093023255813,0.2325581395348837,1.0
6,6,C37_ExB.py,ExB_solution.py,0.0,0.0,0.0,0.0
7,7,C38_ExB.py,ExB_solution.py,0.4285714285714286,0.5895953757225434,0.138728323699422,0.55
8,8,C39_ExB.py,ExB_solution.py,0.5757575757575757,0.8785046728971962,0.5794392523364487,0.7
9,9,C40_ExB.py,ExB_solution.py,0.4,0.5810055865921788,0.2011173184357542,0.85
