,index,source1,source2,SCOSS_count,SCOSS_set,SCOSS_hash,max_mark,real_mark,real_percentage
0,0,C31_ExD.py,ExD_solution.py,0.5909090909090908,0.6567164179104478,0.05970149253731338,7,6,0.8571
1,1,C32_ExD.py,ExD_solution.py,0.625,0.7536231884057971,0.2028985507246377,7,7,1.0
2,2,C33_ExD.py,ExD_solution.py,0.8947368421052632,0.9615384615384616,0.42307692307692313,7,7,1.0
3,3,C34_ExD.py,ExD_solution.py,0.5909090909090908,0.6666666666666667,0.18181818181818177,7,7,1.0
4,4,C35_ExD.py,ExD_solution.py,0.47619047619047616,0.7164179104477613,0.17910447761194026,7,3,0.4286
5,5,C36_ExD.py,ExD_solution.py,0.55,0.7272727272727273,0.07272727272727275,7,7,1.0
6,6,C37_ExD.py,ExD_solution.py,0.35,0.509090909090909,0.07272727272727275,7,2,0.2857
7,7,C38_ExD.py,ExD_solution.py,0.5789473684210527,0.7916666666666666,0.125,7,7,1.0
8,8,C39_ExD.py,ExD_solution.py,0.5714285714285714,0.7407407407407407,0.14814814814814814,7,7,1.0
9,9,C40_ExD.py,ExD_solution.py,0.5789473684210527,0.782608695652174,0.34782608695652173,7,7,1.0
