Student,Total,ExA,ExB,ExC,ExD,Comments
Max,65,14,20,21,7,3
C02,25,6,0,11,7,1
C03,56,12,15,20,7,2
C04,52,12,20,10,7,3
C05,59,12,20,18,7,2
C06,47,12,15,11,7,2
C07,30,11,16,0,0,3
C08,44,12,14,9,7,2
C09,41,12,0,19,7,3
C10,43,13,16,8,3,3
C11,52,13,19,10,7,3
C12,42,12,16,4,7,3
C13,39,12,18,4,2,3
C14,40,12,16,9,0,3
C15,23,6,0,7,7,3
C16,32,12,8,4,5,3
C17,52,7,17,18,7,3
C18,63,12,20,21,7,3
C19,42,12,16,5,7,2
C20,52,12,18,12,7,3
C21,39,10,15,7,5,2
C22,63,12,20,21,7,3
C23,38,7,17,4,7,3
C24,52,12,20,10,7,3
C25,51,12,17,15,5,2
C26,45,7,18,11,7,2
C27,39,9,0,21,7,2
C29,38,7,18,4,7,2
C30,47,12,17,16,0,2
C31,55,12,20,15,6,2
C32,63,12,20,21,7,3
C33,27,9,0,9,7,2
C34,57,7,19,21,7,3
C35,44,12,17,10,3,2
C36,62,13,20,19,7,3
C37,4,0,0,0,2,2
C38,34,11,11,2,7,3
C39,36,11,14,1,7,3
C40,60,13,17,20,7,3
